347. sec: +0.6, ay: +0.1897, gx: -2.4985, angle: -8
348. sec: +0.6, ay: +0.1231, gx: -2.6696, angle: -8
349. sec: +0.6, ay: +0.0818, gx: -2.9071, angle: -7
350. sec: +0.6, ay: +0.0452, gx: -3.1884, angle: -7
351. sec: +0.6, ay: +0.0244, gx: -3.4455, angle: -7
352. sec: +0.6, ay: +0.0051, gx: -3.7994, angle: -6
353. sec: +0.6, ay: -0.0200, gx: -4.1546, angle: -6
354. sec: +0.6, ay: -0.0285, gx: -4.5905, angle: -5
355. sec: +0.6, ay: -0.0669, gx: -4.8407, angle: -5
356. sec: +0.6, ay: -0.0950, gx: -4.8407, angle: -4
357. sec: +0.6, ay: -0.1592, gx: -4.8407, angle: -4
358. sec: +0.6, ay: -0.2200, gx: -4.8407, angle: -3
359. sec: +0.6, ay: -0.2988, gx: -4.8407, angle: -3
360. sec: +0.6, ay: -0.3291, gx: -4.8407, angle: -2
361. sec: +0.6, ay: -0.3972, gx: -4.8407, angle: -2
362. sec: +0.6, ay: -0.4553, gx: -4.8407, angle: -1
363. sec: +0.7, ay: -0.5263, gx: -4.8407, angle: -1
364. sec: +0.7, ay: -0.6199, gx: -4.8407, angle: 0
365. sec: +0.7, ay: -0.6523, gx: -4.8407, angle: 0
366. sec: +0.7, ay: -0.7324, gx: -4.8407, angle: 0
367. sec: +0.7, ay: -0.7986, gx: -4.8407, angle: 0
368. sec: +0.7, ay: -0.8347, gx: -4.8407, angle: 1
369. sec: +0.7, ay: -0.8681, gx: -4.8407, angle: 1
370. sec: +0.7, ay: -0.8816, gx: -4.8407, angle: 2
371. sec: +0.7, ay: -0.8896, gx: -4.8407, angle: 2
372. sec: +0.7, ay: -0.8904, gx: -4.8407, angle: 3
373. sec: +0.7, ay: -0.8513, gx: -4.8407, angle: 3
374. sec: +0.7, ay: -0.7827, gx: -4.8407, angle: 4
375. sec: +0.7, ay: -0.7326, gx: -4.8407, angle: 4
376. sec: +0.7, ay: -0.6235, gx: -4.8407, angle: 5
377. sec: +0.7, ay: -0.4138, gx: -4.8407, angle: 5
378. sec: +0.7, ay: -0.3481, gx: -4.8407, angle: 6
379. sec: +0.7, ay: -0.2929, gx: -4.8407, angle: 6
380. sec: +0.7, ay: -0.2849, gx: -4.8407, angle: 7
381. sec: +0.7, ay: -0.3005, gx: -4.8407, angle: 7
382. sec: +0.7, ay: -0.3135, gx: -4.8407, angle: 8
383. sec: +0.7, ay: -0.3659, gx: -4.8407, angle: 8
384. sec: +0.7, ay: -0.3755, gx: -4.8407, angle: 9
385. sec: +0.7, ay: -0.3581, gx: -4.8407, angle: 9
386. sec: +0.7, ay: -0.2949, gx: -4.8407, angle: 10
387. sec: +0.7, ay: -0.1579, gx: -4.8407, angle: 10
388. sec: +0.7, ay: +0.0816, gx: -4.8407, angle: 11
389. sec: +0.7, ay: +0.2888, gx: -4.8407, angle: 11
390. sec: +0.7, ay: +0.3982, gx: -4.8407, angle: 12
391. sec: +0.7, ay: +0.5889, gx: -4.8407, angle: 12
392. sec: +0.7, ay: +0.7410, gx: -4.8407, angle: 13
393. sec: +0.7, ay: +0.8054, gx: -4.8407, angle: 13
394. sec: +0.7, ay: +0.7835, gx: -4.8407, angle: 14
395. sec: +0.7, ay: +0.6917, gx: -4.8407, angle: 14
396. sec: +0.7, ay: +0.5908, gx: -4.8407, angle: 15
397. sec: +0.7, ay: +0.3394, gx: -4.8407, angle: 15
398. sec: +0.7, ay: +0.0911, gx: -4.8407, angle: 16
399. sec: +0.7, ay: -0.2170, gx: -4.8407, angle: 16
400. sec: +0.7, ay: -0.4817, gx: -4.8407, angle: 17
401. sec: +0.7, ay: -0.5876, gx: -4.8407, angle: 17
402. sec: +0.7, ay: -0.8327, gx: -4.8407, angle: 18
403. sec: +0.7, ay: -1.0105, gx: -4.8407, angle: 18
404. sec: +0.7, ay: -1.1311, gx: -4.8407, angle: 18
405. sec: +0.7, ay: -1.2641, gx: -4.8407, angle: 19
406. sec: +0.7, ay: -1.2304, gx: -4.8407, angle: 19
407. sec: +0.7, ay: -1.1330, gx: -4.8407, angle: 20
408. sec: +0.7, ay: -1.0210, gx: -3.9687, angle: 20
409. sec: +0.7, ay: -0.7939, gx: -2.8441, angle: 21
410. sec: +0.7, ay: -0.6631, gx: -1.8746, angle: 21
