226. sec: +0.4, ay: -0.1235, gx: -0.3352, angle: 1
227. sec: +0.4, ay: -0.0947, gx: -0.3228, angle: 1
228. sec: +0.4, ay: -0.0815, gx: -0.3086, angle: 1
229. sec: +0.4, ay: -0.0569, gx: -0.3024, angle: 1
230. sec: +0.4, ay: -0.0574, gx: -0.2968, angle: 1
231. sec: +0.4, ay: -0.0339, gx: -0.2968, angle: 1
232. sec: +0.4, ay: -0.0459, gx: -0.2968, angle: 1
233. sec: +0.4, ay: -0.0325, gx: -0.2914, angle: 1
234. sec: +0.4, ay: -0.0229, gx: -0.2888, angle: 1
235. sec: +0.4, ay: -0.0166, gx: -0.2886, angle: 1
236. sec: +0.4, ay: -0.0151, gx: -0.2803, angle: 1
237. sec: +0.4, ay: -0.0122, gx: -0.2738, angle: 1
238. sec: +0.4, ay: -0.0134, gx: -0.2643, angle: 1
239. sec: +0.4, ay: -0.0337, gx: -0.2541, angle: 1
240. sec: +0.4, ay: -0.0349, gx: -0.2486, angle: 1
241. sec: +0.4, ay: -0.0413, gx: -0.2401, angle: 1
242. sec: +0.4, ay: -0.0364, gx: -0.2256, angle: 1
243. sec: +0.4, ay: -0.0366, gx: -0.2160, angle: 1
244. sec: +0.4, ay: -0.0408, gx: -0.2117, angle: 1
245. sec: +0.4, ay: -0.0452, gx: -0.1974, angle: 1
246. sec: +0.4, ay: -0.0583, gx: -0.1903, angle: 1
247. sec: +0.4, ay: -0.0320, gx: -0.1853, angle: 1
248. sec: +0.4, ay: -0.0459, gx: -0.1744, angle: 1
249. sec: +0.4, ay: -0.0530, gx: -0.1653, angle: 1
250. sec: +0.4, ay: -0.0532, gx: -0.1565, angle: 1
251. sec: +0.5, ay: -0.0505, gx: -0.1585, angle: 1
252. sec: +0.5, ay: -0.0549, gx: -0.1576, angle: 1
253. sec: +0.5, ay: -0.0513, gx: -0.1583, angle: 1
254. sec: +0.5, ay: -0.0476, gx: -0.1555, angle: 1
255. sec: +0.5, ay: -0.0518, gx: -0.1510, angle: 1
256. sec: +0.5, ay: -0.0618, gx: -0.1306, angle: 1
257. sec: +0.5, ay: -0.0771, gx: -0.1283, angle: 1
258. sec: +0.5, ay: -0.0686, gx: -0.1204, angle: 1
259. sec: +0.5, ay: -0.0833, gx: -0.1126, angle: 1
260. sec: +0.5, ay: -0.0820, gx: -0.1147, angle: 1
261. sec: +0.5, ay: -0.0842, gx: -0.1071, angle: 1
262. sec: +0.5, ay: -0.0840, gx: -0.0869, angle: 1
263. sec: +0.5, ay: -0.0869, gx: -0.0762, angle: 1
264. sec: +0.5, ay: -0.0911, gx: -0.0590, angle: 1
265. sec: +0.5, ay: -0.0898, gx: -0.0396, angle: 1
266. sec: +0.5, ay: -0.0862, gx: -0.0229, angle: 1
267. sec: +0.5, ay: -0.0801, gx: -0.0341, angle: 1
268. sec: +0.5, ay: -0.0725, gx: +0.0003, angle: 1
269. sec: +0.5, ay: -0.0813, gx: +0.0358, angle: 1
270. sec: +0.5, ay: -0.0823, gx: +0.1132, angle: 1
271. sec: +0.5, ay: -0.0903, gx: +0.1641, angle: 1
272. sec: +0.5, ay: -0.0938, gx: +0.2213, angle: 1
273. sec: +0.5, ay: -0.1023, gx: +0.2705, angle: 1
274. sec: +0.5, ay: -0.1052, gx: +0.2858, angle: 1
275. sec: +0.5, ay: -0.1042, gx: +0.3607, angle: 1
276. sec: +0.5, ay: -0.0996, gx: +0.3933, angle: 1
277. sec: +0.5, ay: -0.0996, gx: +0.4226, angle: 1
278. sec: +0.5, ay: -0.0901, gx: +0.4499, angle: 1
279. sec: +0.5, ay: -0.0916, gx: +0.4454, angle: 1
280. sec: +0.5, ay: -0.1011, gx: +0.4932, angle: 1
281. sec: +0.5, ay: -0.1064, gx: +0.4899, angle: 1
282. sec: +0.5, ay: -0.1060, gx: +0.5083, angle: 1
283. sec: +0.5, ay: -0.0891, gx: +0.4507, angle: 1
284. sec: +0.5, ay: -0.0771, gx: +0.4381, angle: 1
285. sec: +0.5, ay: -0.0664, gx: +0.3551, angle: 1
286. sec: +0.5, ay: -0.0488, gx: +0.3311, angle: 1
287. sec: +0.5, ay: -0.0454, gx: +0.2494, angle: 1
288. sec: +0.5, ay: -0.0432, gx: +0.2106, angle: 1
289. sec: +0.5, ay: -0.0469, gx: +0.1760, angle: 1
290. sec: +0.5, ay: -0.0442, gx: +0.1500, angle: 1
291. sec: +0.5, ay: -0.0474, gx: +0.1215, angle: 1
292. sec: +0.5, ay: -0.0386, gx: +0.0933, angle: 1
293. sec: +0.5, ay: -0.0342, gx: +0.0817, angle: 1
294. sec: +0.5, ay: -0.0527, gx: +0.1017, angle: 1
295. sec: +0.5, ay: -0.0491, gx: +0.0538, angle: 1
296. sec: +0.5, ay: -0.0691, gx: +0.0652, angle: 1
297. sec: +0.5, ay: -0.0618, gx: +0.0100, angle: 1
298. sec: +0.5, ay: -0.0593, gx: -0.0175, angle: 1
299. sec: +0.5, ay: -0.0564, gx: -0.0438, angle: 1
300. sec: +0.5, ay: -0.0576, gx: -0.0348, angle: 1
301. sec: +0.5, ay: -0.0520, gx: -0.0913, angle: 1
302. sec: +0.5, ay: -0.0457, gx: -0.1248, angle: 1
303. sec: +0.5, ay: -0.0386, gx: -0.1533, angle: 1
304. sec: +0.5, ay: -0.0256, gx: -0.1809, angle: 1
305. sec: +0.5, ay: -0.0232, gx: -0.1982, angle: 1
306. sec: +0.5, ay: -0.0266, gx: -0.1994, angle: 1
307. sec: +0.6, ay: -0.0261, gx: -0.1945, angle: 1
308. sec: +0.6, ay: -0.0369, gx: -0.1796, angle: 1
309. sec: +0.6, ay: -0.0193, gx: -0.1555, angle: 1
310. sec: +0.6, ay: -0.0142, gx: -0.1208, angle: 1
311. sec: +0.6, ay: -0.0173, gx: -0.0849, angle: 1
312. sec: +0.6, ay: -0.0256, gx: -0.0381, angle: 1
313. sec: +0.6, ay: -0.0298, gx: +0.0116, angle: 1
314. sec: +0.6, ay: -0.0254, gx: +0.0564, angle: 1
315. sec: +0.6, ay: -0.0151, gx: +0.0867, angle: 1
316. sec: +0.6, ay: +0.0037, gx: +0.1272, angle: 1
317. sec: +0.6, ay: +0.0181, gx: +0.1644, angle: 1
318. sec: +0.6, ay: +0.0127, gx: +0.1705, angle: 1
319. sec: +0.6, ay: -0.0007, gx: +0.2092, angle: 1
320. sec: +0.6, ay: -0.0049, gx: +0.2398, angle: 1
321. sec: +0.6, ay: -0.0005, gx: +0.2763, angle: 1
322. sec: +0.6, ay: -0.0095, gx: +0.3349, angle: 1
323. sec: +0.6, ay: -0.0085, gx: +0.3523, angle: 1
324. sec: +0.6, ay: -0.0115, gx: +0.3661, angle: 1
325. sec: +0.6, ay: -0.0156, gx: +0.3453, angle: 1
326. sec: +0.6, ay: -0.0208, gx: +0.3857, angle: 1
327. sec: +0.6, ay: -0.0232, gx: +0.3857, angle: 1
328. sec: +0.6, ay: -0.0283, gx: +0.3793, angle: 0
329. sec: +0.6, ay: -0.0359, gx: +0.3615, angle: 0
330. sec: +0.6, ay: -0.0305, gx: +0.3413, angle: 0
331. sec: +0.6, ay: -0.0203, gx: +0.3140, angle: 0
332. sec: +0.6, ay: -0.0186, gx: +0.2747, angle: 0
333. sec: +0.6, ay: -0.0200, gx: +0.2726, angle: 0
334. sec: +0.6, ay: -0.0110, gx: +0.2054, angle: 0
335. sec: +0.6, ay: -0.0071, gx: +0.1966, angle: 0
336. sec: +0.6, ay: -0.0129, gx: +0.1252, angle: 0
337. sec: +0.6, ay: -0.0164, gx: +0.0881, angle: 0
338. sec: +0.6, ay: -0.0229, gx: +0.0568, angle: 0
339. sec: +0.6, ay: -0.0520, gx: +0.0345, angle: 0
340. sec: +0.6, ay: -0.0540, gx: +0.0167, angle: 0
341. sec: +0.6, ay: -0.0532, gx: +0.0003, angle: 0
342. sec: +0.6, ay: -0.0667, gx: -0.0199, angle: 0
343. sec: +0.6, ay: -0.0645, gx: -0.0413, angle: 0
344. sec: +0.6, ay: -0.0618, gx: -0.0610, angle: 0
345. sec: +0.6, ay: -0.0493, gx: -0.0839, angle: 0
346. sec: +0.6, ay: -0.0664, gx: -0.0714, angle: 0
347. sec: +0.6, ay: -0.0696, gx: -0.1255, angle: 0
348. sec: +0.6, ay: -0.0706, gx: -0.1447, angle: 0
349. sec: +0.6, ay: -0.0740, gx: -0.1697, angle: 0
350. sec: +0.6, ay: -0.0713, gx: -0.1880, angle: 0
351. sec: +0.6, ay: -0.0681, gx: -0.2114, angle: 0
352. sec: +0.6, ay: -0.0654, gx: -0.2357, angle: 0
353. sec: +0.6, ay: -0.0671, gx: -0.2618, angle: 0
354. sec: +0.6, ay: -0.0588, gx: -0.2801, angle: 0
355. sec: +0.6, ay: -0.0696, gx: -0.3044, angle: 0
356. sec: +0.6, ay: -0.0684, gx: -0.3280, angle: 1
357. sec: +0.6, ay: -0.0654, gx: -0.3465, angle: 1
358. sec: +0.6, ay: -0.0645, gx: -0.3444, angle: 1
359. sec: +0.6, ay: -0.0623, gx: -0.4078, angle: 1
360. sec: +0.6, ay: -0.0513, gx: -0.4161, angle: 1
361. sec: +0.6, ay: -0.0408, gx: -0.4932, angle: 1
362. sec: +0.6, ay: -0.0332, gx: -0.5303, angle: 1
363. sec: +0.7, ay: -0.0264, gx: -0.5756, angle: 1
364. sec: +0.7, ay: -0.0198, gx: -0.6113, angle: 1
365. sec: +0.7, ay: -0.0229, gx: -0.6206, angle: 1
366. sec: +0.7, ay: -0.0210, gx: -0.6506, angle: 1
367. sec: +0.7, ay: -0.0193, gx: -0.7121, angle: 1
368. sec: +0.7, ay: -0.0139, gx: -0.7338, angle: 1
369. sec: +0.7, ay: -0.0186, gx: -0.7482, angle: 1
370. sec: +0.7, ay: -0.0200, gx: -0.7842, angle: 1
371. sec: +0.7, ay: -0.0198, gx: -0.7390, angle: 1
372. sec: +0.7, ay: -0.0229, gx: -0.7228, angle: 1
373. sec: +0.7, ay: -0.0171, gx: -0.6905, angle: 2
374. sec: +0.7, ay: -0.0249, gx: -0.6612, angle: 2
375. sec: +0.7, ay: -0.0234, gx: -0.6322, angle: 2
376. sec: +0.7, ay: -0.0408, gx: -0.5947, angle: 2
377. sec: +0.7, ay: -0.0330, gx: -0.5665, angle: 2
378. sec: +0.7, ay: -0.0520, gx: -0.5369, angle: 2
379. sec: +0.7, ay: -0.0625, gx: -0.4979, angle: 2
